"","Gobierno.delincuencia","P.politica","Sexo","Detencion.ciudadana","Medidas.Punitivas"
"1",3,6,1,4,15
"2",6,6,0,3,12
"3",3,3,1,3,13
"4",4,3,0,3,12
"5",2,5,1,3,12
"6",3,10,0,4,12
"7",1,7,1,3,11
"8",3,5,1,3,12
"9",2,5,0,5,15
"10",5,6,0,3,11
"11",3,3,1,3,12
"12",2,1,1,3,12
"13",2,5,0,4,12
"14",1,5,0,5,14
"15",1,3,1,3,11
"16",1,3,0,4,12
"17",3,3,0,5,15
"18",4,5,0,3,10
"19",4,2,1,3,12
"20",1,2,0,4,12
"21",2,3,0,4,12
"22",5,7,0,4,12
"23",1,4,1,5,15
"24",4,7,0,3,9
"25",2,5,0,4,11
"26",3,5,1,5,15
"27",3,5,1,5,15
"28",3,3,0,5,14
"29",3,3,0,5,14
"30",5,5,1,4,13
"31",2,5,1,4,12
"32",4,6,1,3,10
"33",1,5,0,6,15
"34",5,7,1,3,10
"35",4,5,1,4,12
"36",3,5,0,6,15
"37",4,6,1,3,9
"38",5,7,1,3,9
"39",3,3,0,3,8
"40",3,6,0,5,12
"41",1,6,1,6,15
"42",1,6,1,6,15
"43",1,10,1,6,14
"44",1,4,0,3,7
"45",1,5,1,3,8
"46",5,6,1,3,9
"47",4,5,0,5,12
"48",4,5,0,5,12
"49",2,5,1,6,15
"50",1,9,0,5,10
"51",6,6,0,4,10
"52",1,3,1,6,15
"53",3,7,0,5,11
"54",4,4,0,5,12
"55",1,1,0,3,7
"56",3,5,1,6,15
"57",2,8,0,7,15
"58",1,5,1,3,7
"59",2,5,1,5,12
"60",1,2,0,5,11
"61",1,5,0,7,15
"62",1,5,0,7,15
"63",1,5,0,7,15
"64",3,2,0,6,14
"65",3,6,0,6,13
"66",4,1,0,5,12
"67",1,4,0,7,15
"68",2,5,0,7,15
"69",1,6,0,6,12
"70",2,4,1,3,7
"71",3,6,0,7,15
"72",2,7,0,6,12
"73",2,8,1,6,13
"74",1,8,1,7,15
"75",4,5,0,6,13
"76",2,3,0,4,8
"77",2,6,0,6,12
"78",1,10,1,6,12
"79",4,4,1,5,12
"80",4,5,1,3,7
"81",2,7,0,7,14
"82",1,4,0,6,12
"83",4,5,1,6,14
"84",4,5,0,7,15
"85",3,6,0,6,12
"86",1,6,1,7,15
"87",1,3,0,6,12
"88",2,7,1,7,15
"89",5,8,0,6,12
"90",3,5,0,6,12
"91",3,5,0,6,12
"92",1,3,1,3,6
"93",2,3,0,6,12
"94",1,7,1,6,12
"95",3,5,1,6,13
"96",7,5,0,6,13
"97",4,5,0,6,12
"98",4,10,1,6,12
"99",1,7,1,4,7
"100",3,3,0,6,12
"101",5,4,0,5,10
"102",5,5,1,5,11
"103",6,2,1,5,12
"104",5,5,0,6,12
"105",4,5,0,7,14
"106",5,7,1,7,15
"107",3,4,0,5,9
"108",5,4,0,6,12
"109",2,4,0,6,11
"110",1,8,1,6,11
"111",4,4,0,7,14
"112",4,4,0,7,14
"113",4,6,1,5,10
"114",1,3,1,3,5
"115",5,3,0,3,5
"116",5,4,1,3,6
"117",2,4,1,6,12
"118",2,4,1,6,12
"119",3,5,1,6,12
"120",3,5,1,6,12
"121",1,10,1,3,3
"122",3,3,0,3,4
"123",2,5,0,8,15
"124",4,3,0,5,9
"125",1,6,0,7,12
"126",3,6,0,8,15
"127",2,3,0,7,13
"128",1,7,0,8,14
"129",1,5,0,4,5
"130",4,5,1,6,12
"131",3,8,0,7,12
"132",1,5,1,6,11
"133",1,5,1,6,11
"134",2,5,0,6,10
"135",2,2,1,6,12
"136",1,5,0,7,12
"137",1,5,0,7,12
"138",3,10,0,6,9
"139",3,3,1,6,12
"140",1,3,0,6,10
"141",1,4,0,7,12
"142",1,2,0,3,3
"143",2,5,0,7,12
"144",4,6,0,6,10
"145",5,3,0,6,11
"146",2,7,0,6,9
"147",5,4,1,6,12
"148",2,4,1,6,11
"149",3,4,0,6,10
"150",1,5,1,8,15
"151",4,7,1,4,6
"152",3,10,1,7,12
"153",5,3,0,7,13
"154",1,7,1,7,12
"155",4,4,0,6,10
"156",4,4,0,6,10
"157",7,5,1,6,12
"158",7,5,1,6,12
"159",4,5,1,6,11
"160",1,5,1,6,10
"161",4,5,0,7,12
"162",4,3,0,3,3
"163",2,6,1,6,10
"164",1,2,1,7,13
"165",6,3,1,6,12
"166",4,2,0,8,15
"167",2,9,0,9,15
"168",3,7,0,7,11
"169",5,4,0,6,10
"170",2,4,0,6,9
"171",1,7,0,9,15
"172",3,5,0,6,9
"173",1,5,1,7,12
"174",1,5,1,7,12
"175",1,5,0,8,13
"176",1,6,0,6,8
"177",1,2,1,8,15
"178",1,3,0,7,11
"179",2,1,1,4,6
"180",1,4,1,7,12
"181",1,4,1,7,12
"182",1,4,1,7,12
"183",4,5,1,5,8
"184",1,2,1,3,3
"185",2,4,0,7,11
"186",1,8,0,8,12
"187",2,5,0,8,13
"188",1,5,0,9,15
"189",1,3,1,7,12
"190",1,1,1,3,3
"191",4,7,1,7,12
"192",3,10,0,8,12
"193",3,5,1,4,5
"194",4,4,0,6,9
"195",1,4,0,6,8
"196",2,4,1,7,12
"197",1,7,0,8,12
"198",1,7,0,8,12
"199",3,4,0,7,11
"200",4,4,1,8,15
"201",4,5,1,6,10
"202",1,5,1,6,9
"203",1,5,1,6,9
"204",1,5,0,7,10
"205",2,5,1,8,14
"206",2,3,1,7,12
"207",1,6,0,8,12
"208",2,7,1,7,11
"209",7,4,0,7,12
"210",4,5,0,5,6
"211",4,5,1,7,12
"212",1,5,1,7,11
"213",1,8,1,9,15
"214",3,5,1,8,14
"215",3,9,1,8,13
"216",1,5,0,8,12
"217",3,10,1,6,8
"218",4,9,0,8,12
"219",4,7,1,6,9
"220",4,3,0,7,11
"221",5,4,1,6,10
"222",1,4,0,5,5
"223",2,7,1,8,13
"224",1,7,1,9,15
"225",1,5,1,5,6
"226",4,5,0,6,8
"227",6,5,0,7,11
"228",4,3,1,4,5
"229",1,5,1,8,13
"230",5,5,0,8,13
"231",1,1,0,9,15
"232",3,8,1,6,8
"233",1,5,1,6,8
"234",2,4,0,8,12
"235",3,5,0,8,12
"236",1,6,1,7,10
"237",3,3,0,7,10
"238",1,7,1,8,12
"239",3,4,0,8,12
"240",3,5,0,6,7
"241",5,5,0,7,10
"242",3,6,1,6,8
"243",4,5,0,8,12
"244",4,5,0,8,12
"245",2,5,1,9,15
"246",1,6,1,8,12
"247",1,6,1,8,12
"248",1,6,1,8,12
"249",1,5,0,6,6
"250",1,5,1,8,12
"251",1,5,1,8,12
"252",4,6,1,6,8
"253",2,5,0,8,11
"254",3,6,1,7,10
"255",3,2,0,8,12
"256",1,9,0,9,12
"257",4,7,1,7,10
"258",7,7,0,8,12
"259",2,7,1,9,14
"260",3,1,0,5,5
"261",3,4,0,7,9
"262",3,5,1,7,10
"263",2,5,1,8,12
"264",1,1,1,9,15
"265",1,5,0,10,15
"266",1,5,0,10,15
"267",6,2,0,9,15
"268",4,6,0,8,11
"269",5,4,1,5,6
"270",1,3,1,8,12
"271",1,8,1,6,6
"272",4,1,0,5,5
"273",2,4,1,8,12
"274",1,5,0,5,3
"275",3,4,0,8,11
"276",2,8,1,8,11
"277",3,5,1,8,12
"278",1,5,0,8,10
"279",5,6,1,7,10
"280",4,6,1,8,12
"281",2,3,0,6,6
"282",3,3,0,8,11
"283",1,4,1,7,9
"284",3,4,1,8,12
"285",3,4,1,8,12
"286",3,4,1,8,12
"287",1,3,0,10,15
"288",4,5,0,6,6
"289",4,5,1,8,12
"290",4,5,1,8,12
"291",2,4,0,10,15
"292",5,5,0,8,11
"293",1,6,1,6,6
"294",3,5,1,9,14
"295",4,6,0,7,8
"296",5,6,1,8,12
"297",2,6,1,8,11
"298",4,4,1,5,5
"299",2,6,0,9,12
"300",1,6,0,10,14
"301",4,4,1,8,12
"302",3,7,0,9,12
"303",3,7,0,9,12
"304",6,1,1,7,11
"305",2,3,0,10,15
"306",1,5,1,6,6
"307",5,5,1,8,12
"308",1,5,0,7,7
"309",1,1,1,9,14
"310",3,5,0,8,10
"311",2,5,0,9,12
"312",1,1,0,10,15
"313",4,2,0,8,11
"314",4,4,1,6,7
"315",1,6,1,10,15
"316",1,4,1,6,6
"317",5,1,1,6,8
"318",3,3,0,10,15
"319",1,7,0,9,11
"320",3,5,0,6,5
"321",4,5,1,7,9
"322",3,1,1,8,12
"323",1,8,1,9,12
"324",1,4,0,10,14
"325",1,8,0,10,13
"326",3,5,0,9,12
"327",1,5,1,10,15
"328",1,5,1,10,15
"329",5,3,0,6,6
"330",2,3,1,8,11
"331",5,4,1,6,7
"332",2,7,0,9,11
"333",4,5,1,8,11
"334",3,5,0,10,14
"335",7,6,0,10,15
"336",3,7,1,8,10
"337",5,6,1,6,6
"338",4,5,1,9,13
"339",2,5,0,9,11
"340",2,5,0,9,11
"341",4,3,0,6,5
"342",1,5,0,10,13
"343",3,4,1,7,8
"344",1,6,0,11,15
"345",1,7,0,9,10
"346",4,2,0,6,5
"347",2,5,1,9,12
"348",2,5,1,9,12
"349",1,8,0,10,12
"350",4,6,1,8,10
"351",3,9,0,9,10
"352",3,6,1,9,12
"353",1,5,0,11,15
"354",4,6,0,9,11
"355",4,6,0,9,11
"356",4,4,1,7,8
"357",4,7,1,9,12
"358",1,7,1,9,11
"359",1,7,0,10,12
"360",3,7,0,11,15
"361",1,4,1,10,14
"362",3,8,0,9,10
"363",1,4,0,11,15
"364",1,5,0,9,10
"365",3,2,0,8,9
"366",4,2,1,9,13
"367",1,9,1,11,15
"368",1,7,1,7,6
"369",1,6,0,10,12
"370",4,7,0,8,8
"371",4,7,0,8,8
"372",5,7,0,10,13
"373",4,5,0,7,6
"374",1,8,0,9,9
"375",3,3,1,6,5
"376",4,5,0,10,13
"377",1,5,0,10,12
"378",5,3,0,8,9
"379",1,7,1,11,15
"380",6,2,0,7,7
"381",1,8,0,10,11
"382",1,2,1,8,9
"383",2,5,0,10,12
"384",2,5,0,10,12
"385",3,3,1,7,7
"386",5,10,1,10,13
"387",1,6,1,11,15
"388",1,6,1,11,15
"389",2,4,0,7,5
"390",3,5,1,6,4
"391",2,5,1,7,6
"392",3,4,0,9,10
"393",1,5,1,8,8
"394",3,5,1,9,11
"395",3,5,1,9,11
"396",4,6,1,9,11
"397",1,10,1,9,9
"398",1,9,0,12,15
"399",2,5,1,8,8
"400",3,5,0,8,7
"401",1,1,0,10,12
"402",4,5,0,10,12
"403",1,2,0,8,7
"404",5,3,1,7,7
"405",1,5,0,10,11
"406",3,2,0,9,10
"407",1,6,1,10,12
"408",2,6,0,10,11
"409",5,5,1,6,4
"410",2,7,1,10,12
"411",1,3,1,11,15
"412",4,5,1,7,6
"413",2,5,1,9,10
"414",1,8,0,10,10
"415",3,5,0,9,9
"416",1,5,1,10,12
"417",3,3,1,7,6
"418",1,2,0,9,9
"419",3,2,0,10,12
"420",1,9,0,11,12
"421",3,4,1,8,8
"422",4,7,0,10,11
"423",3,3,0,11,14
"424",2,5,1,10,12
"425",4,5,1,11,15
"426",4,6,1,9,10
"427",2,2,0,9,9
"428",1,5,0,12,15
"429",1,5,0,12,15
"430",1,5,0,12,15
"431",1,5,0,12,15
"432",1,5,0,12,15
"433",1,5,0,12,15
"434",7,4,1,8,9
"435",1,10,1,12,15
"436",3,4,0,10,11
"437",3,4,0,10,11
"438",3,5,1,10,12
"439",3,5,1,10,12
"440",6,3,1,9,11
"441",2,3,1,10,12
"442",3,3,0,10,11
"443",3,3,0,10,11
"444",3,4,1,10,12
"445",3,4,1,10,12
"446",1,3,0,12,15
"447",1,7,0,12,14
"448",7,5,1,10,13
"449",4,5,1,10,12
"450",1,5,1,10,11
"451",1,5,1,10,11
"452",2,4,0,12,15
"453",2,4,0,12,15
"454",1,8,1,12,15
"455",2,5,0,10,10
"456",1,5,0,11,12
"457",5,6,1,10,12
"458",3,5,0,12,15
"459",3,5,0,12,15
"460",3,6,0,10,10
"461",3,3,1,10,12
"462",3,7,1,10,11
"463",1,7,1,12,15
"464",1,7,1,12,15
"465",3,4,0,12,15
"466",1,7,1,7,3
"467",4,5,0,12,15
"468",4,7,0,11,12
"469",4,5,1,9,9
"470",1,5,0,10,9
"471",3,5,0,11,12
"472",1,5,1,12,15
"473",1,5,1,12,15
"474",3,6,0,9,7
"475",2,3,1,10,11
"476",3,6,0,12,14
"477",4,4,1,9,9
"478",3,4,1,10,11
"479",2,4,1,11,13
"480",5,5,1,9,9
"481",1,4,1,12,15
"482",4,5,1,10,11
"483",4,5,0,11,12
"484",3,6,0,10,9
"485",1,4,1,7,3
"486",3,3,1,10,11
"487",1,7,1,12,14
"488",3,5,1,9,8
"489",3,4,0,12,14
"490",3,5,0,10,9
"491",1,5,1,11,12
"492",3,5,1,12,15
"493",3,6,1,10,10
"494",4,5,0,12,14
"495",2,3,1,9,8
"496",2,10,0,12,12
"497",5,4,1,10,11
"498",2,4,1,10,10
"499",5,5,1,8,6
"500",1,8,1,11,11
"501",4,5,1,12,15
"502",1,5,1,12,14
"503",2,2,0,10,9
"504",1,6,1,10,9
"505",6,6,1,11,13
"506",1,5,0,13,15
"507",1,5,0,13,15
"508",2,3,1,10,10
"509",2,7,0,11,10
"510",1,7,0,12,12
"511",3,4,0,11,11
"512",1,4,1,12,14
"513",3,1,0,12,14
"514",1,5,0,11,10
"515",4,6,0,12,13
"516",1,6,0,12,12
"517",1,6,0,12,12
"518",3,4,1,11,12
"519",3,1,1,12,15
"520",1,5,0,12,12
"521",1,5,0,12,12
"522",1,10,1,12,12
"523",5,1,1,8,6
"524",5,4,1,10,10
"525",1,7,1,13,15
"526",1,4,0,12,12
"527",1,4,0,12,12
"528",1,4,0,12,12
"529",4,8,0,12,12
"530",4,8,0,12,12
"531",2,5,1,11,11
"532",1,5,1,12,13
"533",4,3,1,11,12
"534",2,3,0,11,10
"535",5,7,0,11,10
"536",1,4,1,12,13
"537",2,4,0,12,12
"538",2,4,0,12,12
"539",1,8,1,12,12
"540",3,1,0,12,13
"541",3,5,0,12,12
"542",2,9,1,12,12
"543",1,5,1,13,15
"544",1,5,1,13,15
"545",4,6,0,12,12
"546",3,10,1,12,12
"547",1,6,0,12,11
"548",2,6,1,13,15
"549",3,4,1,11,11
"550",3,7,1,13,15
"551",3,8,1,11,10
"552",3,4,0,12,12
"553",3,5,1,12,13
"554",4,5,0,12,12
"555",3,5,0,13,14
"556",1,9,0,12,10
"557",1,6,1,12,12
"558",5,6,0,12,12
"559",5,6,0,12,12
"560",7,3,0,11,11
"561",2,7,1,12,12
"562",1,4,1,11,10
"563",3,8,1,12,12
"564",4,5,0,10,7
"565",1,5,1,12,12
"566",1,5,0,13,13
"567",4,3,0,12,12
"568",1,6,0,14,15
"569",1,6,0,14,15
"570",3,3,0,13,14
"571",3,5,1,11,10
"572",4,4,0,13,14
"573",2,5,1,12,12
"574",3,5,0,12,11
"575",3,6,1,12,12
"576",2,7,1,11,9
"577",4,7,0,13,13
"578",1,4,0,14,15
"579",3,5,0,13,13
"580",4,6,1,12,12
"581",5,6,0,12,11
"582",2,7,1,12,11
"583",3,7,0,12,10
"584",2,3,0,13,13
"585",3,1,0,11,9
"586",4,5,1,12,12
"587",4,5,1,12,12
"588",2,1,0,12,11
"589",1,5,1,12,11
"590",1,5,1,12,11
"591",2,6,0,13,12
"592",4,3,0,12,11
"593",4,4,1,12,12
"594",5,5,1,12,12
"595",4,2,1,11,10
"596",2,7,0,12,9
"597",3,5,1,12,11
"598",1,4,0,12,9
"599",5,5,1,11,9
"600",1,5,0,13,11
"601",4,6,0,14,14
"602",2,4,0,12,9
"603",1,7,0,15,15
"604",1,7,0,15,15
"605",1,7,0,15,15
"606",1,7,0,15,15
"607",1,10,1,11,6
"608",4,3,1,12,11
"609",1,6,0,15,15
"610",1,6,0,15,15
"611",3,4,0,12,9
"612",3,7,0,14,13
"613",1,4,1,13,12
"614",3,5,1,12,10
"615",2,5,0,14,13
"616",1,5,0,15,15
"617",1,5,0,15,15
"618",1,5,0,15,15
"619",1,10,1,15,15
"620",1,10,1,15,15
"621",2,5,0,15,15
"622",1,6,0,14,12
"623",3,4,1,13,12
"624",4,5,0,11,6
"625",1,7,0,15,14
"626",3,5,0,12,8
"627",2,4,0,15,15
"628",5,5,0,13,11
"629",2,5,0,13,10
"630",4,6,0,12,8
"631",4,6,0,15,15
"632",1,6,0,15,14
"633",2,4,1,12,9
"634",4,8,1,13,11
"635",1,5,0,15,14
"636",1,5,0,15,14
"637",1,5,1,15,15
"638",1,5,1,15,15
"639",3,7,1,15,15
"640",1,4,1,15,15
"641",1,4,1,15,15
"642",1,4,1,15,15
"643",2,5,1,15,15
"644",2,5,1,15,15
"645",4,10,0,15,13
"646",1,10,0,15,12
"647",2,3,0,15,14
"648",2,4,1,15,15
"649",2,4,1,15,15
"650",2,6,0,15,13
"651",3,8,1,15,14
"652",1,4,0,15,13
"653",1,8,0,15,12
"654",3,6,0,15,13
"655",3,5,0,15,13
"656",7,2,0,15,15
"657",1,7,1,15,13
"658",5,4,1,15,15
"659",6,2,1,13,11
"660",1,1,0,15,13
"661",1,5,0,15,12
"662",5,3,1,15,15
"663",6,5,1,13,10
"664",4,4,0,15,13
"665",4,5,1,15,14
"666",1,5,1,15,13
"667",5,5,0,15,13
"668",4,4,1,12,7
"669",4,2,1,14,12
"670",3,5,0,15,12
"671",1,10,0,15,10
"672",6,5,1,12,7
"673",3,5,1,15,13
